experimentalBlock.thisRepN,experimentalBlock.thisTrialN,experimentalBlock.thisN,experimentalBlock.thisIndex,thisRow.t,notes,Instruction.started,instImage.started,Instruction.stopped,Instruction2.started,instImage_2.started,Instruction2.stopped,starttask.started,startText.started,moveOn_3.started,starttask.stopped,moveOn_3.keys,moveOn_3.rt,moveOn_3.duration,sequenceGeneration.started,sequenceGeneration.stopped,experimentalTrial.started,myExp.trial,myExp.word,myExp.color,myExp.congruent,myExp.expectedResponse,stroopStim.started,stroopResp.started,stroopStim.stopped,stroopResp.stopped,experimentalTrial.stopped,myExp.observedResponse,myExp.trialDuration,myExp.Accuracy,myExp.step,stroopResp.keys,stroopResp.corr,blank.started,fbCound.started,blankPeriod.started,fbCound.stopped,blank.stopped,myExp.RT_allTrials,myExp.RT_correctTrials,stroopResp.rt,stroopResp.duration,End.started,endImage.started,endText.started,moveOn_4.started,End.stopped,moveOn_4.keys,moveOn_4.rt,moveOn_4.duration,participant,date,expName,psychopyVersion,frameRate,expStart,
35,0,35,0,58.96467069999926,,,,,,,,,,,,,,,,,58.95484860000033,36,green,green,1.0,c,58.96467069999926,58.96467069999926,,,59.493411299999934,c,1.0980918999994174,1.0,0.0,c,1,59.497276099999,0.0004602999997587176,0.0004602999997587176,0.5745593999999983,60.07799129999876,0.5138499000004231,0.5138499000004231,0.5138499000004231,None,,,,,,,,,01,2025-08-21_14h09.00.014,controlStroop,2023.2.1,59.926278692197585,2025-08-21 14h09.11.562219 +0100,
36,0,36,0,60.08888819999993,,,,,,,,,,,,,,,,,60.0795177,37,red,red,1.0,m,60.08888819999993,60.08888819999993,,,60.71314539999912,l,1.0980918999994174,0.0,0.0,l,0,60.71787559999939,0.0005466000002343208,0.0005466000002343208,0.46769940000012866,61.18727419999959,0.620052600001145,,0.620052600001145,None,,,,,,,,,01,2025-08-21_14h09.00.014,controlStroop,2023.2.1,59.926278692197585,2025-08-21 14h09.11.562219 +0100,
37,0,37,0,61.205012200000056,,,,,,,,,,,,,,,,,61.18901579999874,38,blue,blue,1.0,l,61.205012200000056,61.205012200000056,,,61.76018809999914,l,1.0980918999994174,1.0,0.0,l,1,61.76506469999913,0.000378400000045076,0.000378400000045076,0.5370425000000978,62.307834600000206,0.5507311999990634,0.5507311999990634,0.5507311999990634,None,,,,,,,,,01,2025-08-21_14h09.00.014,controlStroop,2023.2.1,59.926278692197585,2025-08-21 14h09.11.562219 +0100,
38,0,38,0,62.322595899999214,,,,,,,,,,,,,,,,,62.309662699999535,39,green,green,1.0,c,62.322595899999214,62.322595899999214,,,62.94365300000027,c,1.0980918999994174,1.0,0.0,c,1,62.94825689999925,0.0004881999993813224,0.0004881999993813224,0.479483999999502,63.432720200000404,0.6079549999994924,0.6079549999994924,0.6079549999994924,None,,,,,,,,,01,2025-08-21_14h09.00.014,controlStroop,2023.2.1,59.926278692197585,2025-08-21 14h09.11.562219 +0100,
39,0,39,0,63.44181019999996,,,,,,,,,,,,,,,,,63.43383679999897,40,blue,blue,1.0,l,63.44181019999996,63.44181019999996,,,63.960498799999186,l,1.0980918999994174,1.0,0.0,l,1,63.96584040000016,0.0008006999996723607,0.0008006999996723607,0.5728493999995408,64.54451039999913,0.5153425000007701,0.5153425000007701,0.5153425000007701,None,,,,,,,,,01,2025-08-21_14h09.00.014,controlStroop,2023.2.1,59.926278692197585,2025-08-21 14h09.11.562219 +0100,
40,0,40,0,64.5587048999987,,,,,,,,,,,,,,,,,64.54716499999995,41,green,green,1.0,c,64.5587048999987,64.5587048999987,,,65.17684410000038,c,1.0980918999994174,1.0,0.0,c,1,65.18104779999885,0.0004760000010719523,0.0004760000010719523,0.4834312000002683,65.6706137000001,0.603838299999552,0.603838299999552,0.603838299999552,None,,,,,,,,,01,2025-08-21_14h09.00.014,controlStroop,2023.2.1,59.926278692197585,2025-08-21 14h09.11.562219 +0100,
41,0,41,0,65.6888958999989,,,,,,,,,,,,,,,,,65.67239100000006,42,red,red,1.0,m,65.6888958999989,65.6888958999989,,,66.11118849999912,m,1.0980918999994174,1.0,0.0,m,1,66.11910549999993,0.0010628999989421573,0.0010628999989421573,0.6705420999987837,66.79527199999939,0.4166499999992084,0.4166499999992084,0.4166499999992084,None,,,,,,,,,01,2025-08-21_14h09.00.014,controlStroop,2023.2.1,59.926278692197585,2025-08-21 14h09.11.562219 +0100,
42,0,42,0,66.81133740000041,,,,,,,,,,,,,,,,,66.79694849999942,43,green,green,1.0,c,66.81133740000041,66.81133740000041,,,67.59315830000014,s,1.0980918999994174,0.0,0.0,s,0,67.59830379999948,0.0007385000008071074,0.0007385000008071074,0.31242330000168295,67.9161537,0.7768701000004512,,0.7768701000004512,None,,,,,,,,,01,2025-08-21_14h09.00.014,controlStroop,2023.2.1,59.926278692197585,2025-08-21 14h09.11.562219 +0100,
43,0,43,0,67.93326299999899,,,,,,,,,,,,,,,,,67.91818179999973,44,blue,blue,1.0,l,67.93326299999899,67.93326299999899,69.04087020000043,69.04087020000043,69.02607609999905,nan,1.0980918999994174,0.0,0.0,None,0,69.0298141000003,0.0008992000002763234,0.0008992000002763234,0.04439300000012736,69.09387500000048,,,,,,,,,,,,,01,2025-08-21_14h09.00.014,controlStroop,2023.2.1,59.926278692197585,2025-08-21 14h09.11.562219 +0100,
44,0,44,0,69.1104204000003,,,,,,,,,,,,,,,,,69.09566610000002,45,red,red,1.0,m,69.1104204000003,69.1104204000003,70.22413459999916,70.22413459999916,70.2093905999991,nan,1.0980918999994174,0.0,0.0,None,0,70.21350119999988,0.0012328000011621043,0.0012328000011621043,0.044383800001014606,70.2728346999993,,,,,,,,,,,,,01,2025-08-21_14h09.00.014,controlStroop,2023.2.1,59.926278692197585,2025-08-21 14h09.11.562219 +0100,
45,0,45,0,70.29606450000028,,,,,,,,,,,,,,,,,70.27478200000041,46,green,green,1.0,c,70.29606450000028,70.29606450000028,71.40717649999897,71.40717649999897,71.39316870000039,nan,1.0980918999994174,0.0,0.0,None,0,71.39673249999942,0.0007454999995388789,0.0007454999995388789,0.043863999999302905,71.4547408999988,,,,,,,,,,,,,01,2025-08-21_14h09.00.014,controlStroop,2023.2.1,59.926278692197585,2025-08-21 14h09.11.562219 +0100,
46,0,46,0,71.47010059999957,,,,,,,,,,,,,,,,,71.45670989999962,47,red,red,1.0,m,71.47010059999957,71.47010059999957,72.5734952999992,72.5734952999992,72.55898239999988,nan,1.0980918999994174,0.0,0.0,None,0,72.5626269000004,0.0006910000010975637,0.0006910000010975637,0.044749500000762055,72.62254120000034,,,,,,,,,,,,,01,2025-08-21_14h09.00.014,controlStroop,2023.2.1,59.926278692197585,2025-08-21 14h09.11.562219 +0100,
47,0,47,0,72.65057650000017,,,,,,,,,,,,,,,,,72.62486109999918,48,yellow,yellow,1.0,s,72.65057650000017,72.65057650000017,73.75712649999878,73.75712649999878,73.74238409999998,nan,1.0980918999994174,0.0,0.0,None,0,73.74651110000013,0.0014324000003398396,0.0014324000003398396,0.04434919999948761,73.80346239999926,,,,,,,,,,,,,01,2025-08-21_14h09.00.014,controlStroop,2023.2.1,59.926278692197585,2025-08-21 14h09.11.562219 +0100,
