experimentalBlock.thisRepN,experimentalBlock.thisTrialN,experimentalBlock.thisN,experimentalBlock.thisIndex,thisRow.t,notes,Instruction.started,instImage.started,Instruction.stopped,Instruction2.started,instImage2.started,Instruction2.stopped,starttask.started,startText.started,moveOn_3.started,starttask.stopped,moveOn_3.keys,moveOn_3.rt,moveOn_3.duration,sequenceGeneration.started,sequenceGeneration.stopped,experimentalTrial.started,myExp.trial,myExp.word,myExp.color,myExp.congruent,myExp.expectedResponse,stroopStim.started,stroopResp.started,experimentalTrial.stopped,myExp.observedResponse,myExp.trialDuration,myExp.Accuracy,myExp.RT_allTrials,myExp.RT_correctTrials,myExp.step,stroopResp.keys,stroopResp.corr,stroopResp.rt,stroopResp.duration,blank.started,fbSound.started,blankPeriod.started,fbSound.stopped,blank.stopped,stroopStim.stopped,stroopResp.stopped,End.started,endImage.started,endText.started,moveOn_4.started,End.stopped,moveOn_4.keys,moveOn_4.rt,moveOn_4.duration,participant,date,expName,psychopyVersion,frameRate,expStart,
33,0,33,0,40.009172500000204,,,,,,,,,,,,,,,,,39.999294699999155,34,red,red,1.0,m,40.009172500000204,40.009172500000204,40.49123300000065,m,0.5480918999994169,1.0,0.4693115999998554,0.4693115999998554,0.0,m,1,0.4693115999998554,None,40.49796740000056,0.0007798000006005168,0.0007798000006005168,0.0686251999995875,40.56843739999931,,,,,,,,,,,01,2025-08-21_13h48.29.437,adaptiveStroop,2023.2.1,59.983360615849456,2025-08-21 13h48.52.437684 +0100,
34,0,34,0,40.59189370000058,,,,,,,,,,,,,,,,,40.570520499999475,35,green,yellow,0.0,s,40.59189370000058,40.59189370000058,41.10785829999986,s,0.5480918999994169,1.0,0.5065890000005311,0.5065890000005311,-0.05,s,1,0.5065890000005311,None,41.113177299999734,0.0006881000008434057,0.0006881000008434057,0.042342400000052294,41.1734536999993,,,,,,,,,,,01,2025-08-21_13h48.29.437,adaptiveStroop,2023.2.1,59.983360615849456,2025-08-21 13h48.52.437684 +0100,
35,0,35,0,41.189152099999774,,,,,,,,,,,,,,,,,41.17527349999909,36,red,green,0.0,c,41.189152099999774,41.189152099999774,41.64061369999945,c,0.4980918999994169,1.0,0.43361189999995986,0.43361189999995986,-0.05,c,1,0.43361189999995986,None,41.64575519999926,0.0007994999996299157,0.0007994999996299157,0.05380270000023302,41.71819809999943,,,,,,,,,,,01,2025-08-21_13h48.29.437,adaptiveStroop,2023.2.1,59.983360615849456,2025-08-21 13h48.52.437684 +0100,
36,0,36,0,41.73755119999987,,,,,,,,,,,,,,,,,41.72012739999991,37,green,green,1.0,c,41.73755119999987,41.73755119999987,42.16089060000013,c,0.4480918999994169,1.0,0.41860339999948337,0.41860339999948337,0.0,c,1,0.41860339999948337,None,42.16659289999916,0.0006809000005887356,0.0006809000005887356,0.038881899999978486,42.22385699999904,,,,,,,,,,,01,2025-08-21_13h48.29.437,adaptiveStroop,2023.2.1,59.983360615849456,2025-08-21 13h48.52.437684 +0100,
37,0,37,0,42.24527289999969,,,,,,,,,,,,,,,,,42.225631299999804,38,yellow,blue,0.0,l,42.24527289999969,42.24527289999969,42.69024580000041,nan,0.4480918999994169,0.0,,,0.05,None,0,,,42.69364239999959,0.0006661000006715767,0.0006661000006715767,0.044986900000367314,42.75338939999892,42.70547929999884,42.70547929999884,,,,,,,,,01,2025-08-21_13h48.29.437,adaptiveStroop,2023.2.1,59.983360615849456,2025-08-21 13h48.52.437684 +0100,
38,0,38,0,42.77258040000015,,,,,,,,,,,,,,,,,42.75558799999999,39,green,green,1.0,c,42.77258040000015,42.77258040000015,42.82434459999968,l,0.4980918999994169,0.0,0.03588029999991704,,0.0,l,0,0.03588029999991704,None,42.83066669999971,0.0006551999995281221,0.0006551999995281221,0.45217129999946337,43.28725149999991,,,,,,,,,,,01,2025-08-21_13h48.29.437,adaptiveStroop,2023.2.1,59.983360615849456,2025-08-21 13h48.52.437684 +0100,
39,0,39,0,43.2980435999998,,,,,,,,,,,,,,,,,43.28851810000015,40,blue,blue,1.0,l,43.2980435999998,43.2980435999998,43.789759799999956,nan,0.4980918999994169,0.0,,,0.0,None,0,,,43.79254889999902,0.0005550999994738959,0.0005550999994738959,0.04637970000112546,43.85344780000014,43.80528439999944,43.80528439999944,,,,,,,,,01,2025-08-21_13h48.29.437,adaptiveStroop,2023.2.1,59.983360615849456,2025-08-21 13h48.52.437684 +0100,
40,0,40,0,43.87481669999943,,,,,,,,,,,,,,,,,43.85617640000055,41,yellow,green,0.0,c,43.87481669999943,43.87481669999943,44.35681359999944,nan,0.4980918999994169,0.0,,,0.05,None,0,,,44.361224799999036,0.0009516999998595566,0.0009516999998595566,0.04398339999897871,44.42331860000013,44.37160819999917,44.37160819999917,,,,,,,,,01,2025-08-21_13h48.29.437,adaptiveStroop,2023.2.1,59.983360615849456,2025-08-21 13h48.52.437684 +0100,
41,0,41,0,44.443163699999786,,,,,,,,,,,,,,,,,44.42560109999977,42,blue,blue,1.0,l,44.443163699999786,44.443163699999786,44.540946499999336,c,0.5480918999994169,0.0,0.09094059999915771,,0.0,c,0,0.09094059999915771,None,44.546796799999356,0.000659700001051533,0.000659700001051533,0.44674830000076327,44.99847349999982,,,,,,,,,,,01,2025-08-21_13h48.29.437,adaptiveStroop,2023.2.1,59.983360615849456,2025-08-21 13h48.52.437684 +0100,
42,0,42,0,45.01414389999991,,,,,,,,,,,,,,,,,44.99929359999987,43,yellow,green,0.0,c,45.01414389999991,45.01414389999991,45.507972499999596,c,0.5480918999994169,1.0,0.48228670000025886,0.48228670000025886,-0.05,c,1,0.48228670000025886,None,45.514981700000135,0.0008670999995956663,0.0008670999995956663,0.05654580000009446,45.58357760000035,,,,,,,,,,,01,2025-08-21_13h48.29.437,adaptiveStroop,2023.2.1,59.983360615849456,2025-08-21 13h48.52.437684 +0100,
43,0,43,0,45.604699399998935,,,,,,,,,,,,,,,,,45.58547969999927,44,green,green,1.0,c,45.604699399998935,45.604699399998935,46.05679489999966,c,0.4980918999994169,1.0,0.4462215000003198,0.4462215000003198,0.0,c,1,0.4462215000003198,None,46.06044549999933,0.0003758999991987366,0.0003758999991987366,0.044340700000248034,46.12715360000038,,,,,,,,,,,01,2025-08-21_13h48.29.437,adaptiveStroop,2023.2.1,59.983360615849456,2025-08-21 13h48.52.437684 +0100,
44,0,44,0,46.139950700000554,,,,,,,,,,,,,,,,,46.128054700000575,45,yellow,yellow,1.0,s,46.139950700000554,46.139950700000554,46.55802290000065,s,0.4980918999994169,1.0,0.4144333000003826,0.4144333000003826,0.0,s,1,0.4144333000003826,None,46.563267199999245,0.0007569000008516014,0.0007569000008516014,0.07474030000048515,46.639429400000154,,,,,,,,,,,01,2025-08-21_13h48.29.437,adaptiveStroop,2023.2.1,59.983360615849456,2025-08-21 13h48.52.437684 +0100,
45,0,45,0,46.65714339999977,,,,,,,,,,,,,,,,,46.64115089999905,46,green,blue,0.0,l,46.65714339999977,46.65714339999977,47.091063800000484,l,0.4980918999994169,1.0,0.4287696999999753,0.4287696999999753,-0.05,l,1,0.4287696999999753,None,47.0973484999995,0.0007075999983499059,0.0007075999983499059,0.06082829999832029,47.16374469999937,,,,,,,,,,,01,2025-08-21_13h48.29.437,adaptiveStroop,2023.2.1,59.983360615849456,2025-08-21 13h48.52.437684 +0100,
46,0,46,0,47.1816433999993,,,,,,,,,,,,,,,,,47.165638899999976,47,red,red,1.0,m,47.1816433999993,47.1816433999993,47.589182199999414,m,0.4480918999994169,1.0,0.40471290000095905,0.40471290000095905,0.0,m,1,0.40471290000095905,None,47.59243349999997,0.0004735000002256129,0.0004735000002256129,0.04603560000032303,47.654874399999244,,,,,,,,,,,01,2025-08-21_13h48.29.437,adaptiveStroop,2023.2.1,59.983360615849456,2025-08-21 13h48.52.437684 +0100,
47,0,47,0,47.679862400000275,,,,,,,,,,,,,,,,,47.65665540000009,48,yellow,yellow,1.0,s,47.679862400000275,47.679862400000275,48.07569770000009,s,0.4480918999994169,1.0,0.3925662999990891,0.3925662999990891,0.0,s,1,0.3925662999990891,None,48.081723899998906,0.0008479999996779952,0.0008479999996779952,0.04575300000033167,48.14496809999946,,,,,,,,,,,01,2025-08-21_13h48.29.437,adaptiveStroop,2023.2.1,59.983360615849456,2025-08-21 13h48.52.437684 +0100,
