experimentalBlock.thisRepN,experimentalBlock.thisTrialN,experimentalBlock.thisN,experimentalBlock.thisIndex,thisRow.t,notes,Instruction.started,instImage.started,Instruction.stopped,Instruction2.started,instImage_2.started,Instruction2.stopped,starttask.started,startText.started,moveOn_3.started,starttask.stopped,moveOn_3.keys,moveOn_3.rt,moveOn_3.duration,sequenceGeneration.started,sequenceGeneration.stopped,experimentalTrial.started,myExp.trial,myExp.word,myExp.color,myExp.congruent,myExp.expectedResponse,stroopStim.started,stroopResp.started,experimentalTrial.stopped,myExp.observedResponse,myExp.trialDuration,myExp.Accuracy,myExp.RT_allTrials,myExp.step,stroopResp.keys,stroopResp.corr,stroopResp.rt,stroopResp.duration,blank.started,fbSound.started,blankPeriod.started,fbSound.stopped,blank.stopped,myExp.RT_correctTrials,stroopStim.stopped,stroopResp.stopped,End.started,endImage.started,endText.started,moveOn_4.started,End.stopped,moveOn_4.keys,moveOn_4.rt,moveOn_4.duration,participant,date,expName,psychopyVersion,frameRate,expStart,
31,0,31,0,54.32513370000015,,,,,,,,,,,,,,,,,54.3119200000001,32,blue,blue,1.0,l,54.32513370000015,54.32513370000015,55.4174922000002,nan,1.0980918999994174,0.0,,0.0,None,0,,,55.421585199999754,0.0008267000011983328,0.0008267000011983328,0.04448150000098394,55.48748419999902,,55.43236699999943,55.43236699999943,,,,,,,,,01,2025-08-21_14h02.06.839,standardStroop,2023.2.1,59.89243318974531,2025-08-21 14h02.19.944406 +0100,
32,0,32,0,55.50792000000001,,,,,,,,,,,,,,,,,55.48932889999924,33,red,yellow,0.0,s,55.50792000000001,55.50792000000001,56.60089320000043,nan,1.0980918999994174,0.0,,0.0,None,0,,,56.6042295999996,0.0008878000007825904,0.0008878000007825904,0.044916400000147405,56.66638409999905,,56.61551169999984,56.61551169999984,,,,,,,,,01,2025-08-21_14h02.06.839,standardStroop,2023.2.1,59.89243318974531,2025-08-21 14h02.19.944406 +0100,
33,0,33,0,56.68526269999893,,,,,,,,,,,,,,,,,56.6683223,34,blue,blue,1.0,l,56.68526269999893,56.68526269999893,57.91489299999921,nan,1.0980918999994174,0.0,,0.0,None,0,,,57.91733170000043,0.0003956000000471249,0.0003956000000471249,0.050621499998669606,57.98528029999943,,57.93543510000018,57.93543510000018,,,,,,,,,01,2025-08-21_14h02.06.839,standardStroop,2023.2.1,59.89243318974531,2025-08-21 14h02.19.944406 +0100,
34,0,34,0,57.99437399999988,,,,,,,,,,,,,,,,,57.9860809999991,35,green,green,1.0,c,57.99437399999988,57.99437399999988,59.08760859999893,nan,1.0980918999994174,0.0,,0.0,None,0,,,59.09082490000037,0.0006080999992263969,0.0006080999992263969,0.04677059999994526,59.15689249999923,,59.10407169999962,59.10407169999962,,,,,,,,,01,2025-08-21_14h02.06.839,standardStroop,2023.2.1,59.89243318974531,2025-08-21 14h02.19.944406 +0100,
35,0,35,0,59.18266509999921,,,,,,,,,,,,,,,,,59.158799900000304,36,yellow,blue,0.0,l,59.18266509999921,59.18266509999921,60.267103099999076,nan,1.0980918999994174,0.0,,0.0,None,0,,,60.27030869999908,0.0006804999993619276,0.0006804999993619276,0.04511209999873245,60.336273099999744,,60.28175079999892,60.28175079999892,,,,,,,,,01,2025-08-21_14h02.06.839,standardStroop,2023.2.1,59.89243318974531,2025-08-21 14h02.19.944406 +0100,
36,0,36,0,60.35248370000045,,,,,,,,,,,,,,,,,60.33790810000028,37,blue,blue,1.0,l,60.35248370000045,60.35248370000045,61.45052299999952,nan,1.0980918999994174,0.0,,0.0,None,0,,,61.45407949999935,0.0006081000010453863,0.0006081000010453863,0.04447690000051807,61.51673180000034,,61.465333699999974,61.465333699999974,,,,,,,,,01,2025-08-21_14h02.06.839,standardStroop,2023.2.1,59.89243318974531,2025-08-21 14h02.19.944406 +0100,
37,0,37,0,61.53629419999925,,,,,,,,,,,,,,,,,61.51856559999942,38,red,red,1.0,m,61.53629419999925,61.53629419999925,62.633915700000216,nan,1.0980918999994174,0.0,,0.0,None,0,,,62.63758810000036,0.0007559000005130656,0.0007559000005130656,0.04428849999931117,62.69675989999996,,62.64862429999994,62.64862429999994,,,,,,,,,01,2025-08-21_14h02.06.839,standardStroop,2023.2.1,59.89243318974531,2025-08-21 14h02.19.944406 +0100,
38,0,38,0,62.71618569999919,,,,,,,,,,,,,,,,,62.69888499999979,39,yellow,green,0.0,c,62.71618569999919,62.71618569999919,63.80016499999874,nan,1.0980918999994174,0.0,,0.0,None,0,,,63.804023900000175,0.0008459999990009237,0.0008459999990009237,0.04457409999849915,63.86611249999987,,63.81507729999976,63.81507729999976,,,,,,,,,01,2025-08-21_14h02.06.839,standardStroop,2023.2.1,59.89243318974531,2025-08-21 14h02.19.944406 +0100,
39,0,39,0,63.88406159999977,,,,,,,,,,,,,,,,,63.86767719999989,40,red,red,1.0,m,63.88406159999977,63.88406159999977,64.96717109999918,nan,1.0980918999994174,0.0,,0.0,None,0,,,64.97106510000049,0.0006963000014366116,0.0006963000014366116,0.04475470000033965,65.03645499999948,,64.98177170000054,64.98177170000054,,,,,,,,,01,2025-08-21_14h02.06.839,standardStroop,2023.2.1,59.89243318974531,2025-08-21 14h02.19.944406 +0100,
40,0,40,0,65.06920249999894,,,,,,,,,,,,,,,,,65.03897809999944,41,green,yellow,0.0,s,65.06920249999894,65.06920249999894,66.1666194999998,nan,1.0980918999994174,0.0,,0.0,None,0,,,66.1703720000005,0.0014298000005510403,0.0014298000005510403,0.04478659999949741,66.2363734999999,,66.18148399999882,66.18148399999882,,,,,,,,,01,2025-08-21_14h02.06.839,standardStroop,2023.2.1,59.89243318974531,2025-08-21 14h02.19.944406 +0100,
